[2018-11-24 21:08:03,780]: Pygame parameters:
 

[2018-11-24 21:09:40,733]: Pygame parameters:
%s 

[2018-11-24 21:09:40,734]: FPS: 60
%s 

[2018-11-24 21:10:40,601]: ----Pygame parameters----%s 

[2018-11-24 21:10:40,601]: FPS: 60%s 

[2018-11-24 21:10:40,602]: RESOLUTION: (1280, 720)%s 

[2018-11-24 21:23:28,261]: ----Pygame parameters---- 

[2018-11-24 21:24:44,967]: ----Pygame parameters---- 

[2018-11-24 21:24:44,968]: FPS: 60 

[2018-11-24 21:24:44,968]: RESOLUTION: (1280, 720) 

[2018-11-24 21:26:53,586]: ----Pygame parameters---- 

[2018-11-24 21:26:53,586]: FPS: 60 

[2018-11-24 21:26:53,586]: RESOLUTION: (1280, 720) 

[2018-11-24 21:27:21,608]: ----Pygame parameters---- 

[2018-11-24 21:27:21,608]: FPS: 60 
[2018-11-24 21:27:23,561]: Received event <Event(4-MouseMotion {pos: (765, 303), rel: (-6, -3), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,568]: Received event <Event(4-MouseMotion {pos: (761, 300), rel: (-4, -3), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,576]: Received event <Event(4-MouseMotion {pos: (756, 297), rel: (-5, -3), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,583]: Received event <Event(4-MouseMotion {pos: (753, 295), rel: (-3, -2), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,589]: Received event <Event(4-MouseMotion {pos: (750, 293), rel: (-3, -2), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,596]: Received event <Event(4-MouseMotion {pos: (747, 292), rel: (-3, -1), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,603]: Received event <Event(4-MouseMotion {pos: (746, 291), rel: (-1, -1), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,617]: Received event <Event(4-MouseMotion {pos: (745, 291), rel: (-1, 0), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,631]: Received event <Event(4-MouseMotion {pos: (745, 290), rel: (0, -1), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,638]: Received event <Event(4-MouseMotion {pos: (745, 289), rel: (0, -1), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,645]: Received event <Event(4-MouseMotion {pos: (746, 287), rel: (1, -2), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,653]: Received event <Event(4-MouseMotion {pos: (748, 285), rel: (2, -2), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,660]: Received event <Event(4-MouseMotion {pos: (750, 282), rel: (2, -3), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,667]: Received event <Event(4-MouseMotion {pos: (752, 279), rel: (2, -3), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,674]: Received event <Event(4-MouseMotion {pos: (754, 275), rel: (2, -4), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,683]: Received event <Event(4-MouseMotion {pos: (754, 269), rel: (0, -6), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,690]: Received event <Event(4-MouseMotion {pos: (756, 262), rel: (2, -7), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,697]: Received event <Event(4-MouseMotion {pos: (758, 254), rel: (2, -8), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,705]: Received event <Event(4-MouseMotion {pos: (759, 248), rel: (1, -6), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,712]: Received event <Event(4-MouseMotion {pos: (760, 243), rel: (1, -5), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,719]: Received event <Event(4-MouseMotion {pos: (761, 234), rel: (1, -9), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,726]: Received event <Event(4-MouseMotion {pos: (762, 228), rel: (1, -6), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,733]: Received event <Event(4-MouseMotion {pos: (762, 219), rel: (0, -9), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,741]: Received event <Event(4-MouseMotion {pos: (763, 209), rel: (1, -10), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,748]: Received event <Event(4-MouseMotion {pos: (763, 203), rel: (0, -6), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,756]: Received event <Event(4-MouseMotion {pos: (763, 194), rel: (0, -9), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,763]: Received event <Event(4-MouseMotion {pos: (763, 185), rel: (0, -9), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,771]: Received event <Event(4-MouseMotion {pos: (763, 177), rel: (0, -8), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,778]: Received event <Event(4-MouseMotion {pos: (763, 170), rel: (0, -7), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,786]: Received event <Event(4-MouseMotion {pos: (763, 161), rel: (0, -9), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,793]: Received event <Event(4-MouseMotion {pos: (763, 154), rel: (0, -7), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,801]: Received event <Event(4-MouseMotion {pos: (763, 144), rel: (0, -10), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,809]: Received event <Event(4-MouseMotion {pos: (764, 135), rel: (1, -9), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,816]: Received event <Event(4-MouseMotion {pos: (765, 127), rel: (1, -8), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,823]: Received event <Event(4-MouseMotion {pos: (765, 121), rel: (0, -6), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,831]: Received event <Event(4-MouseMotion {pos: (765, 114), rel: (0, -7), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,841]: Received event <Event(4-MouseMotion {pos: (765, 108), rel: (0, -6), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,849]: Received event <Event(4-MouseMotion {pos: (765, 104), rel: (0, -4), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,857]: Received event <Event(4-MouseMotion {pos: (766, 101), rel: (1, -3), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,864]: Received event <Event(4-MouseMotion {pos: (766, 99), rel: (0, -2), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,872]: Received event <Event(4-MouseMotion {pos: (767, 95), rel: (1, -4), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,879]: Received event <Event(4-MouseMotion {pos: (767, 92), rel: (0, -3), buttons: (0, 0, 0)})>" 

